,title,label
0,가격 싸,1
1,가까스로,0
2,가까이 사귀,1
3,가까이,1
4,가꾸러뜨리,2
5,가꾸러트리,2
6,가난,2
7,가난뱅이,2
8,가난,2
9,가난,2
10,가난,2
11,가난,2
12,가난 쪼들리,2
13,가난,2
14,가난,2
15,가난 어렵,2
16,가난 천한,2
17,가난,2
18,가난,2
19,가난,2
20,가난 데,2
21,가난 사람,2
22,가난,2
23,가년,2
24,가념하,2
25,가,2
26,가누 어려워하,2
27,가누 못하,2
28,가누 못하,2
29,가누 못하,2
30,가누 못하 정도,2
31,가누 못하,2
32,가누 수 없,2
33,가누 수 없,2
34,가누 수 없이,2
35,가능성 늘어나,1
36,가능성 있,1
37,가능,1
38,가닐가닐,2
39,가다듬,1
40,가다듬 수습,1
41,가다듬 수습,1
42,가다듬 정하,1
43,가당찮,2
44,가,2
45,가,1
46,가두,2
47,가두 해치,2
48,가드,2
49,가뜬,1
50,가라앉,0
51,가라앉 않,0
52,가라앉히 바로잡,1
53,가래,2
54,가래 따위,2
55,가래,2
56,가래 섞이,2
57,가량,2
58,가량 야살,2
59,가량 야살,2
60,가리 좋아하,2
61,가렵,2
62,가렵 느낌,2
63,가렵 증상,2
64,가련,2
65,가련 여기,2
66,가련 여기,2
67,가련,2
68,가련 듯하,2
69,가렵,2
70,가로막,2
71,가로,2
72,가로,2
73,가르치,1
74,가르침,1
75,가르침 받,0
76,가리 못하,2
77,가리 않,0
78,가마득,2
79,가만있 못하,2
80,가망 없,2
81,가망 없,2
82,가벼운 마음,1
83,가벼운 말,2
84,가벼운 상처,2
85,가벼운 슬픔,2
86,가벼운 행동,2
87,가볍,2
88,가볍 까불,2
89,가볍 까불,2
90,가볍 쑤시,2
91,가볍 웃,1
92,가볍 채신,2
93,가볍 행동,2
94,가볍 행동,2
95,가볍 행동,2
96,가볍,1
97,가볍 보드랍,1
98,가볍 상쾌,1
99,가볍 상쾌,1
100,가볍 시원,1
101,가볍 편안,1
102,가볍 환하,1
